user_id	n_nonlucid	n_lucid
AED9	570	145
AD89	536	114
E4A9	531	5
FA1D	426	11
B19C	369	43
E4C0	342	18
D721	332	5
CD36	272	14
DF20	267	76
F8BC	266	115
E13C	245	3
BD40	244	31
DF12	242	3
A845	239	6
EB86	227	56
FC6B	218	13
D55A	202	6
F7F9	182	29
D49F	175	10
AF06	175	0
A081	174	17
FB0F	168	11
B3F5	160	22
B75A	159	0
D303	154	8
B192	153	2
A71F	152	22
D4C0	151	1
CD8C	150	14
BE5E	143	23
B6C5	138	7
EBED	133	23
B447	131	16
FA5A	123	84
AFA1	120	65
D612	118	60
A2F9	117	13
AB52	114	25
ABE5	113	9
E4E9	111	23
DC14	107	2
E697	105	10
D649	103	24
AB2F	103	15
D07C	102	74
E5E7	102	17
CF53	99	29
F228	98	8
A1FD	94	6
F4DF	93	193
A00A	93	4
B3A1	91	3
EF1F	89	10
A31B	86	11
A11A	84	10
FF9B	84	3
C76A	84	2
B16C	82	87
E671	81	1
C1D2	80	6
BEB6	79	9
FF3A	78	6
CCD0	77	15
DB42	76	4
B2DD	75	6
AAD6	72	15
D746	72	2
B4CA	71	5
FAD2	70	26
F642	70	2
ADD6	69	15
C96E	69	1
CC02	69	0
A85A	67	3
E57E	66	119
EB6C	66	24
E569	66	12
F1FE	66	4
C661	65	35
E594	65	3
ADC9	64	0
A9E5	63	125
FA9E	63	16
D098	63	2
D8AC	63	1
C0AA	62	407
BF80	62	84
CC29	61	10
B99D	61	8
D98D	60	6
BAE2	59	11
FB97	59	4
D2F1	57	39
E7E4	57	11
E149	57	2
B412	56	5
ADD9	55	84
F660	55	9
BABA	55	0
EB03	54	54
F958	54	45
E837	54	14
B667	54	3
AACA	53	7
F264	52	10
B332	52	7
CD0A	52	4
E4D7	51	27
C632	51	9
C043	51	7
BA57	51	4
B1DC	50	21
FAD1	50	4
E832	50	3
ABBD	49	9
B69D	49	0
D194	49	0
F3EE	49	0
F789	48	17
F523	48	11
A4A0	47	4
A6C7	46	43
A36F	46	30
E820	46	3
AE9D	45	53
E96A	45	14
A425	45	8
F78C	45	1
F59B	44	1
E628	43	30
E986	42	14
A65D	42	10
D124	42	4
C7E5	42	2
F6AA	42	2
FD6B	41	24
A2D5	41	18
D996	41	16
BD0D	41	5
D6B3	41	3
BD17	41	2
D408	41	1
DA9E	41	1
EAD7	41	1
FE06	40	12
B0A2	40	11
AC34	40	9
B432	40	6
D113	40	1
C215	40	0
F309	40	0
C44A	39	26
B5E4	39	23
E233	39	8
CC1A	39	6
B39E	39	1
A07D	38	23
FD81	38	13
