lucidity	token_type	count	mean	std	min	25%	50%	75%	max
combined	lemma	5036	116.2	66.4	13	66.5	103.0	152.0	418
combined	word	5036	322.5	181.1	50	186.0	285.0	421.9	997
ambiguous	lemma	872	160.5	78.5	18	97.0	159.0	215.5	429
ambiguous	word	872	443.6	214.0	51	265.6	434.0	590.2	990
lucid	lemma	2118	132.6	72.2	14	77.6	120.9	178.1	387
lucid	word	2118	366.9	197.5	51	214.7	335.3	491.0	997
nonlucid	lemma	2766	113.8	64.2	15	66.0	102.0	147.3	388
nonlucid	word	2766	317.0	177.8	50	184.7	284.0	411.8	989
unspecified	lemma	2931	102.9	66.3	12	54.0	86.5	134.8	418
unspecified	word	2931	284.3	177.9	50	152.0	241.2	370.5	991
