post_id	insight	agency
A0000D	1.49925e-02	3.44828e-02
A00023	2.43902e-02	6.09756e-03
A0011C	1.67464e-02	2.39234e-02
A0012B	1.24224e-02	2.48447e-02
A00208	1.95730e-02	2.13523e-02
A00225	1.48148e-02	5.55556e-02
A00248	4.17227e-02	2.15343e-02
A0025F	5.28455e-02	1.62602e-02
A00283	2.47748e-02	4.05405e-02
A00297	6.96429e-02	7.14286e-02
A002CC	0.00000e+00	3.20000e-02
A00337	3.66599e-02	3.25866e-02
A00392	1.31004e-02	1.31004e-02
A003CC	3.83747e-02	2.93454e-02
A00433	3.50877e-02	0.00000e+00
A0044F	2.50000e-02	4.00000e-02
A004A3	4.78088e-02	3.18725e-02
A004AA	4.19948e-02	5.77428e-02
A004C1	2.48447e-02	1.24224e-02
A00560	4.08163e-02	2.04082e-02
A00650	1.61290e-02	1.61290e-02
A00666	9.95025e-03	4.47761e-02
A006A0	2.23881e-02	7.46269e-03
A00742	7.89474e-03	1.05263e-02
A0078E	0.00000e+00	0.00000e+00
A00977	2.70270e-02	1.20120e-02
A00A25	5.20833e-03	3.12500e-02
A00A49	1.96906e-02	4.78200e-02
A00AB1	2.63158e-02	3.07018e-02
A00C0D	2.56959e-02	2.78373e-02
A00C98	3.36750e-02	6.29575e-02
A00D4E	2.40964e-02	1.20482e-02
A00D94	1.91847e-02	3.11751e-02
A00DD1	2.80374e-02	3.73832e-02
A00EAC	5.61798e-03	5.33708e-02
A00EBD	1.72786e-02	3.45572e-02
A00EC6	5.78512e-02	6.61157e-02
A00EF4	2.38095e-02	5.95238e-03
A00F09	2.40550e-02	1.71821e-02
A00F65	2.12766e-02	1.89125e-02
A00F9B	2.51142e-02	2.73973e-02
A00FB7	1.76471e-02	2.35294e-02
A010D3	1.48148e-02	2.96296e-02
A0110A	1.33333e-02	2.66667e-02
A01150	1.52672e-02	4.58015e-02
A0116C	2.00000e-02	0.00000e+00
A01486	2.61097e-02	1.09661e-01
A01521	1.64835e-02	4.39560e-02
A01533	2.38806e-02	2.68657e-02
A0154A	1.13636e-02	2.27273e-02
A0157C	1.74419e-02	2.51938e-02
A015AE	3.09735e-02	3.09735e-02
A01620	1.31772e-02	4.24597e-02
A016D7	8.43882e-03	2.53165e-02
A0175C	1.18812e-02	3.76238e-02
A01786	9.28793e-03	2.16718e-02
A01796	3.76569e-02	1.25523e-02
A017CA	2.36842e-02	2.10526e-02
A017D3	3.50877e-02	1.75439e-02
A017D7	2.87356e-02	2.18391e-02
A0181C	4.45434e-03	1.11359e-02
A0184B	0.00000e+00	0.00000e+00
A01888	1.44231e-02	2.40385e-02
A01894	0.00000e+00	1.31579e-02
A0196C	8.03213e-03	3.21285e-02
A01A78	4.34783e-02	0.00000e+00
A01AE8	1.39665e-02	2.65363e-02
A01B47	1.73410e-02	1.73410e-02
A01B75	0.00000e+00	2.67857e-02
A01C71	3.65854e-02	1.21951e-02
A01CFE	5.46075e-02	3.58362e-02
A01E22	3.57143e-02	3.57143e-02
A01FC8	3.98230e-02	1.76991e-02
A01FD2	2.27848e-02	2.27848e-02
A02080	2.76382e-02	3.51759e-02
A020B1	1.75439e-02	3.50877e-02
A020DB	2.41493e-02	1.09769e-02
A02128	3.76045e-02	3.76045e-02
A02132	1.32450e-02	9.93377e-03
A02138	1.53846e-02	7.69231e-03
A02166	1.69492e-02	2.07156e-02
A02210	1.81818e-02	5.45455e-02
A02223	2.97700e-02	1.89445e-02
A02246	1.32013e-02	1.65017e-02
A02341	3.56537e-02	3.39559e-02
A023A7	1.72589e-02	1.21827e-02
A023FD	3.73134e-02	2.98507e-02
A02467	3.05445e-02	3.32005e-02
A02475	1.79372e-02	3.13901e-02
A024B6	3.30579e-02	2.89256e-02
A02503	0.00000e+00	1.05263e-02
A02512	3.04569e-02	2.53807e-02
A0252A	0.00000e+00	3.29670e-02
A025C2	2.63158e-02	3.50877e-02
A025DF	2.84974e-02	3.10881e-02
A025ED	1.93966e-02	2.15517e-02
A02634	3.77358e-02	1.88679e-02
A026EE	4.65116e-03	2.32558e-02
A028A6	1.67224e-02	2.34114e-02
A02962	2.29008e-02	4.58015e-02
A02A38	4.11523e-03	1.64609e-02
A02A5F	4.02299e-02	2.29885e-02
A02AA8	3.24074e-02	2.77778e-02
A02AFB	2.80992e-02	2.80992e-02
A02B18	2.94118e-02	1.47059e-02
A02C76	2.94118e-02	3.92157e-02
A02CBA	7.62195e-03	1.52439e-02
A02CEB	2.12202e-02	4.24403e-02
A02D0F	2.08333e-02	0.00000e+00
A02DDC	5.46448e-03	2.18579e-02
A02EF6	2.63158e-02	2.63158e-02
A02F34	2.02429e-02	2.42915e-02
A02FA5	0.00000e+00	0.00000e+00
A0303C	1.79283e-02	3.18725e-02
A03047	1.09890e-02	2.19780e-02
A030D2	1.61290e-02	2.15054e-02
A03138	2.64650e-02	2.07940e-02
A0313F	1.45631e-02	1.45631e-02
A0322D	1.31579e-02	6.57895e-02
A03245	0.00000e+00	4.76190e-02
A032CB	2.56410e-02	0.00000e+00
A03315	2.00000e-02	1.83333e-02
A0332E	1.10497e-02	2.76243e-02
A0333B	2.03046e-02	3.04569e-02
A0333D	7.04225e-02	2.81690e-02
A033E6	0.00000e+00	1.53846e-02
A033EC	1.16279e-02	3.48837e-02
A034F1	2.79503e-02	2.17391e-02
A03518	2.47148e-02	4.37262e-02
A0351E	0.00000e+00	2.96296e-02
A03598	1.11111e-02	1.11111e-02
A035F1	2.21753e-02	2.74551e-02
A03670	4.88432e-02	2.82776e-02
A03677	3.65535e-02	4.30809e-02
A036A3	6.03622e-03	2.61569e-02
A03701	4.96760e-02	2.15983e-02
A03801	2.20049e-02	2.93399e-02
A03837	4.00534e-02	3.87183e-02
A038A9	2.68562e-02	2.68562e-02
A03941	9.83607e-03	3.16940e-02
A039F9	2.41287e-02	8.04290e-03
A03A42	2.08333e-02	1.04167e-02
A03A60	1.49254e-02	1.49254e-02
A03A94	1.96721e-02	1.96721e-02
A03AFC	2.19780e-02	3.02198e-02
A03B16	2.13333e-02	5.06667e-02
A03BF3	3.78378e-02	5.40541e-03
A03C10	2.22222e-02	4.44444e-02
A03C2A	1.42232e-02	4.04814e-02
A03D08	2.42424e-02	2.72727e-02
A03EA9	2.10526e-02	1.05263e-02
A03F8C	2.01005e-02	2.84757e-02
A03FED	2.32198e-02	3.40557e-02
A0405F	3.09278e-02	2.06186e-02
A04079	2.67176e-02	2.29008e-02
A0413A	4.68750e-02	1.95312e-02
A04155	1.93050e-02	1.93050e-02
A04305	8.69565e-03	0.00000e+00
A04316	1.53509e-02	1.53509e-02
A04320	2.64650e-02	2.26843e-02
A0432E	3.60360e-02	2.25225e-02
A04356	6.45161e-03	3.87097e-02
A0437E	1.12994e-02	1.41243e-02
A044BC	2.47593e-02	3.30124e-02
A0450B	1.88679e-02	4.40252e-02
A0454F	1.47059e-02	7.35294e-03
A04562	2.49307e-02	2.49307e-02
A04582	2.04499e-02	3.88548e-02
A045AF	3.30827e-02	4.21053e-02
A045C6	1.88679e-02	1.88679e-02
A045F1	4.13534e-02	2.63158e-02
A04717	0.00000e+00	0.00000e+00
A047F3	4.69484e-03	3.28638e-02
A0480A	3.36700e-02	4.04040e-02
A048AA	0.00000e+00	0.00000e+00
A048C3	1.63934e-02	1.63934e-02
A048D6	1.36986e-02	3.42466e-02
A0492D	1.95122e-02	3.90244e-02
A04970	2.04678e-02	2.92398e-02
A04972	1.13636e-02	0.00000e+00
A04B2E	1.38889e-02	9.25926e-03
A04B3F	7.93651e-03	1.58730e-02
A04BFE	1.20240e-02	1.40281e-02
A04C00	8.19672e-03	1.63934e-02
A04C21	3.23450e-02	3.77358e-02
A04C2C	8.84956e-03	8.84956e-03
A04C52	2.69886e-02	1.98864e-02
A04D01	2.49110e-02	5.33808e-02
A04E12	3.79310e-02	2.06897e-02
A04F4B	1.29032e-02	1.93548e-02
A0500C	4.83871e-02	1.61290e-02
A05070	2.23881e-02	5.22388e-02
A0512D	2.40964e-02	1.20482e-02
A05135	2.63158e-02	3.07018e-02
A05214	3.73134e-02	3.35821e-02
A0524C	4.87805e-02	1.09756e-01
A0526C	2.05011e-02	1.13895e-02
A053BE	2.48869e-02	2.94118e-02
A0545E	3.84615e-02	2.30769e-02
A0546D	6.25000e-02	1.25000e-02
A054F3	2.46914e-02	2.46914e-02
A05685	1.81818e-02	1.81818e-02
A0569C	2.42424e-02	3.33333e-02
A0569F	2.19780e-02	2.19780e-02
A057D8	1.58730e-02	4.49735e-02
A05801	1.03093e-02	4.12371e-02
A05812	2.81195e-02	2.81195e-02
A05873	3.98406e-02	3.18725e-02
A058A5	5.55556e-02	1.38889e-02
A058A8	2.10280e-02	7.00935e-03
A059A8	2.42291e-02	4.18502e-02
A059B8	1.85185e-02	3.08642e-02
A05B92	1.61290e-02	5.37634e-03
A05BC0	1.57325e-02	2.75320e-02
A05BC1	2.87770e-02	1.25899e-02
A05BEE	9.09091e-03	9.09091e-03
A05C59	3.60000e-02	2.40000e-02
A05D06	1.83486e-02	1.83486e-02
A05D58	1.07914e-02	1.43885e-02
A05DC2	3.78251e-02	2.83688e-02
A05DD8	6.18557e-02	1.03093e-02
A05E13	3.84168e-02	1.74622e-02
A05FBA	0.00000e+00	0.00000e+00
A06021	2.09974e-02	1.83727e-02
A0613C	3.36134e-02	2.52101e-02
A061DA	1.79257e-02	2.56082e-02
A061E5	2.79330e-02	4.46927e-02
A061E7	1.51007e-02	2.01342e-02
A061EE	6.17284e-03	1.85185e-02
A0624E	4.14938e-03	2.07469e-02
A06296	1.04790e-02	1.64671e-02
A0630A	1.89873e-02	2.84810e-02
A0635A	2.28571e-02	2.85714e-02
A064A9	3.89105e-03	2.33463e-02
A064BA	9.43396e-03	4.71698e-02
A06515	1.23457e-02	3.70370e-02
A0660F	1.40845e-02	9.38967e-03
A06614	3.57143e-02	2.38095e-02
A06621	0.00000e+00	1.78571e-02
A06711	2.77078e-02	2.51889e-02
A06785	2.25225e-02	3.60360e-02
A067AB	1.73913e-02	1.30435e-02
A069B0	2.06897e-02	6.89655e-03
A06A62	0.00000e+00	0.00000e+00
A06B1E	3.07971e-02	7.24638e-02
A06BBF	3.28767e-02	1.91781e-02
A06C03	1.38889e-02	2.31481e-02
A06C48	1.20482e-02	1.20482e-02
A06C84	1.05263e-02	3.15789e-02
A06CA8	2.05761e-02	1.23457e-02
A06DB3	1.96078e-02	2.94118e-02
A06E13	2.69750e-02	1.54143e-02
A06E75	2.22965e-02	2.89855e-02
A06E8F	1.54028e-02	3.67299e-02
A06E9F	1.08303e-02	2.16606e-02
A06F36	5.15464e-03	6.18557e-02
A06F85	1.57835e-02	2.93123e-02
A06FE7	1.77515e-02	3.25444e-02
A07028	1.84049e-02	1.22699e-02
A0704B	1.59236e-02	2.54777e-02
A07068	1.95531e-02	8.37989e-03
A0707A	1.14943e-02	5.74713e-03
A07104	2.82258e-02	4.03226e-03
A07143	3.77358e-02	5.03145e-02
A07177	1.76991e-02	0.00000e+00
A0719A	3.44828e-02	1.72414e-02
A071AC	2.81690e-02	2.11268e-02
A07291	9.69305e-03	2.42326e-02
A072F9	2.01729e-02	4.89914e-02
A0730E	7.19424e-03	2.87770e-02
A0733A	3.27869e-02	6.55738e-02
A07383	4.63320e-02	2.70270e-02
A073B1	3.35277e-02	2.18659e-02
A074F0	4.42804e-02	2.76753e-02
A07515	2.38095e-02	1.42857e-02
A0757F	1.04712e-02	5.23560e-03
A07599	2.66667e-02	1.33333e-02
A0759E	2.18522e-02	2.91363e-02
A07604	2.20820e-02	3.78549e-02
A0760F	2.70270e-02	6.75676e-02
A076D1	1.60772e-02	2.57235e-02
A07700	2.35294e-02	1.17647e-02
A0774B	2.00501e-02	1.75439e-02
A07757	2.71739e-02	5.43478e-03
A077A2	3.59955e-02	2.02475e-02
A077B7	1.14943e-02	2.29885e-02
A077E2	2.85714e-02	2.85714e-02
A07812	8.92857e-03	0.00000e+00
A0789B	4.68384e-02	3.27869e-02
A07966	2.35988e-02	3.09735e-02
A0797C	0.00000e+00	0.00000e+00
A07A73	3.10345e-02	2.06897e-02
A07A98	2.56410e-02	4.70085e-02
A07AD1	4.40415e-02	4.14508e-02
A07B3B	1.13636e-02	2.02020e-02
A07B87	2.97030e-02	4.95050e-02
A07BD6	1.92000e-02	2.40000e-02
A07BDD	1.94647e-02	1.94647e-02
A07C35	2.34234e-02	4.50450e-02
A07CA9	1.25945e-02	2.51889e-02
A07D1F	3.00000e-02	3.00000e-02
A07D4D	3.02013e-02	6.71141e-03
A07E7A	0.00000e+00	7.60870e-02
A07E90	0.00000e+00	7.69231e-03
A07F27	1.31004e-02	2.62009e-02
A07F56	5.71429e-02	4.76190e-02
A07F8D	3.58209e-02	1.19403e-02
A07FC2	2.60870e-02	6.08696e-02
A08019	7.04225e-03	1.40845e-02
A0802B	1.73776e-02	3.00158e-02
A08053	0.00000e+00	4.01786e-02
A080CB	7.29927e-03	2.18978e-02
A08130	1.47783e-02	4.92611e-03
A08174	1.80723e-02	7.83133e-02
