token	cohen-d	cohen-d_lo	cohen-d_hi	rank	category
became	0.44221	0.36174	0.51779	1	insight
realized	0.41506	0.35596	0.47059	2	insight
thought	0.41409	0.34091	0.47760	3	insight
decided	0.36443	0.30502	0.42201	4	insight
felt	0.35589	0.28471	0.41867	5	insight
aware*	0.29735	0.19872	0.37235	6	insight
imagin*	0.29385	0.18891	0.38086	7	insight
feel	0.28878	0.21497	0.36020	8	insight
realize	0.28018	0.20617	0.33739	9	insight
decide	0.26395	0.20098	0.31860	10	insight
knew	0.25081	0.17770	0.31549	11	insight
become	0.23045	0.16020	0.29985	12	insight
feeling	0.22863	0.15212	0.30256	13	insight
thinking	0.19786	0.13855	0.26286	14	insight
concentrat*	0.18941	0.09672	0.26851	15	insight
senses	0.18649	0.12770	0.23673	16	insight
explor*	0.17991	0.11378	0.23632	17	insight
feels	0.17023	0.09204	0.23811	18	insight
conscious*	0.16470	0.10612	0.21858	19	insight
secret	-0.15559	-0.20632	-0.09596	20	insight
tried	0.52458	0.45934	0.58762	1	agency
thought	0.41409	0.34091	0.47760	2	agency
do	0.26922	0.19209	0.34154	3	agency
success*	0.25888	0.19718	0.30867	4	agency
goal	0.25398	0.18958	0.30817	5	agency
fail*	0.23014	0.16278	0.28683	6	agency
thinking	0.19786	0.13855	0.26286	7	agency
make	0.17693	0.10083	0.25357	8	agency
takes	-0.16173	-0.22229	-0.09479	9	agency
sure	0.16043	0.08022	0.23595	10	agency
goals	0.16032	0.07441	0.22388	11	agency
defeat*	-0.15933	-0.21862	-0.07959	12	agency
struggl*	0.15589	0.08027	0.21948	13	agency
intent*	0.14166	0.06312	0.20084	14	agency
achiev*	0.14152	0.08413	0.19097	15	agency
effort*	0.13895	0.05990	0.20734	16	agency
accomplish*	0.13177	0.05722	0.18066	17	agency
rebel*	-0.11588	-0.14705	-0.07662	18	agency
think	0.11128	0.04247	0.17834	19	agency
succeed*	0.10845	0.03222	0.16601	20	agency
