ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
aaaah	2.340000e-01	2.340000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.660000e-01	0.000000e+00
abominable	7.380000e-01	7.380000e-01	1.030540e+00	2.000000e-02	-5.884103e-05	0.000000e+00	3.222584e-05	2.380000e-01	-1.080939e-04
abomination	8.440000e-01	8.440000e-01	9.560471e-01	2.602500e+00	3.078535e-04	0.000000e+00	2.111170e-04	3.440000e-01	8.174222e-04
acceptances	2.030000e-01	2.030000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.970000e-01	0.000000e+00
accident	7.500000e-01	7.500000e-01	4.163568e+01	1.103491e+01	-9.427951e-04	0.000000e+00	2.019226e-03	2.500000e-01	-1.819287e-03
acrobat	2.660000e-01	2.660000e-01	7.033977e-01	0.000000e+00	-4.207687e-05	0.000000e+00	2.103843e-05	-2.340000e-01	7.599817e-05
adjudicate	2.970000e-01	2.970000e-01	3.759398e-03	0.000000e+00	-2.248852e-07	0.000000e+00	1.124426e-07	-2.030000e-01	3.523715e-07
advance	1.880000e-01	1.880000e-01	2.435985e+01	6.587778e+00	-5.331479e-04	0.000000e+00	1.190619e-03	-3.120000e-01	1.283944e-03
affront	2.660000e-01	2.660000e-01	1.403667e-02	0.000000e+00	-8.396658e-07	0.000000e+00	4.198329e-07	-2.340000e-01	1.516583e-06
afraid	8.440000e-01	8.440000e-01	1.850575e+02	8.339871e+01	6.280145e-04	0.000000e+00	1.138404e-02	3.440000e-01	1.667524e-03
aga	2.190000e-01	2.190000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.810000e-01	0.000000e+00
aggressive	7.030000e-01	7.030000e-01	2.036726e+01	9.622738e+00	1.313903e-04	0.000000e+00	1.284053e-03	2.030000e-01	2.058749e-04
aggressor	8.120000e-01	8.120000e-01	6.359618e-01	1.040000e+00	1.078343e-04	0.000000e+00	9.196006e-05	3.120000e-01	2.596902e-04
agonizing	7.030000e-01	7.030000e-01	1.581778e+00	2.428571e+00	2.460263e-04	0.000000e+00	2.176343e-04	2.030000e-01	3.854974e-04
agony	7.500000e-01	7.500000e-01	5.057209e+00	4.118687e+00	2.751946e-04	0.000000e+00	4.401168e-04	2.500000e-01	5.310358e-04
ahhh	1.250000e-01	1.250000e-01	1.169856e+00	5.882353e-02	-6.172918e-05	0.000000e+00	3.911557e-05	-3.750000e-01	1.786758e-04
alertness	2.160000e-01	2.160000e-01	5.111739e-02	0.000000e+00	-3.057815e-06	0.000000e+00	1.528907e-06	-2.840000e-01	6.703064e-06
alerts	2.760000e-01	2.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.240000e-01	0.000000e+00
alligator	7.270000e-01	7.270000e-01	1.967092e+01	4.162165e+00	-5.928910e-04	0.000000e+00	8.802582e-04	2.270000e-01	-1.038830e-03
alreadyyyyy	1.400000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.600000e-01	0.000000e+00
anaconda	7.500000e-01	7.500000e-01	2.013722e+00	4.545455e-02	-1.140840e-04	0.000000e+00	6.341776e-05	2.500000e-01	-2.201449e-04
anarchist	7.500000e-01	7.500000e-01	6.303181e-02	0.000000e+00	-3.770528e-06	0.000000e+00	1.885264e-06	2.500000e-01	-7.275890e-06
anarchy	7.500000e-01	7.500000e-01	1.743019e+00	5.333333e-01	-2.945762e-05	0.000000e+00	8.953765e-05	2.500000e-01	-5.684359e-05
anguish	7.030000e-01	7.030000e-01	3.709384e+00	1.500000e+00	-1.149345e-05	0.000000e+00	2.161466e-04	2.030000e-01	-1.800903e-05
annihilate	9.530000e-01	9.530000e-01	1.810967e+00	2.500000e-01	-7.326442e-05	0.000000e+00	7.169885e-05	4.530000e-01	-2.561741e-04
annihilated	8.590000e-01	8.590000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.590000e-01	0.000000e+00
annihilation	8.750000e-01	8.750000e-01	4.427209e-02	7.000000e-01	9.553827e-05	0.000000e+00	5.041747e-05	3.750000e-01	2.765365e-04
anthrax	8.590000e-01	8.590000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.590000e-01	0.000000e+00
anxietyattack	7.970000e-01	7.970000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.970000e-01	0.000000e+00
