ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
aaaah	2.34000e-01	2.34000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.66000e-01	0.00000e+00
abominable	7.38000e-01	7.38000e-01	5.15389e-01	0.00000e+00	-4.98359e-05	0.00000e+00	2.49179e-05	2.38000e-01	-8.46800e-05
abomination	8.44000e-01	8.44000e-01	7.62336e-01	1.60250e+00	2.96344e-04	0.00000e+00	2.21887e-04	3.44000e-01	7.27807e-04
acceptances	2.03000e-01	2.03000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.97000e-01	0.00000e+00
accident	7.50000e-01	7.50000e-01	3.32517e+01	6.28243e+00	-1.76452e-03	0.00000e+00	2.33304e-03	2.50000e-01	-3.14941e-03
acrobat	2.66000e-01	2.66000e-01	6.15898e-01	0.00000e+00	-5.95547e-05	0.00000e+00	2.97773e-05	-2.34000e-01	9.94932e-05
adjudicate	2.97000e-01	2.97000e-01	3.75940e-03	0.00000e+00	-3.63518e-07	0.00000e+00	1.81759e-07	-2.03000e-01	5.26846e-07
advance	1.88000e-01	1.88000e-01	1.52350e+01	3.23581e+00	-7.25922e-04	0.00000e+00	1.11019e-03	-3.12000e-01	1.61699e-03
affront	2.66000e-01	2.66000e-01	1.40367e-02	0.00000e+00	-1.35729e-06	0.00000e+00	6.78643e-07	-2.34000e-01	2.26751e-06
afraid	8.44000e-01	8.44000e-01	1.32493e+02	6.96814e+01	3.27973e-03	0.00000e+00	1.44514e-02	3.44000e-01	8.05486e-03
aga	2.19000e-01	2.19000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.81000e-01	0.00000e+00
aggressive	7.03000e-01	7.03000e-01	1.79560e+01	7.61321e+00	2.18195e-05	0.00000e+00	1.74718e-03	2.03000e-01	3.16230e-05
aggressor	8.12000e-01	8.12000e-01	4.69295e-01	4.00000e-02	-3.61418e-05	0.00000e+00	2.73079e-05	3.12000e-01	-8.05056e-05
agonizing	7.03000e-01	7.03000e-01	1.57564e+00	4.76190e-01	-4.23933e-05	0.00000e+00	1.31161e-04	2.03000e-01	-6.14405e-05
agony	7.50000e-01	7.50000e-01	2.95544e+00	3.45202e+00	5.11382e-04	0.00000e+00	5.41470e-04	2.50000e-01	9.12741e-04
ahhh	1.25000e-01	1.25000e-01	6.10826e-01	5.88235e-02	-4.54804e-05	0.00000e+00	3.63241e-05	-3.75000e-01	1.21764e-04
alertness	2.16000e-01	2.16000e-01	7.15728e-02	0.00000e+00	-6.92078e-06	0.00000e+00	3.46039e-06	-2.84000e-01	1.40325e-05
alerts	2.76000e-01	2.76000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.24000e-01	0.00000e+00
alligator	7.27000e-01	7.27000e-01	1.00845e+01	2.16217e+00	-4.75824e-04	0.00000e+00	7.37212e-04	2.27000e-01	-7.71142e-04
alreadyyyyy	1.40000e-01	1.40000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-3.60000e-01	0.00000e+00
anaconda	7.50000e-01	7.50000e-01	2.47183e+00	0.00000e+00	-2.39016e-04	0.00000e+00	1.19508e-04	2.50000e-01	-4.26607e-04
anarchist	7.50000e-01	7.50000e-01	6.30318e-02	0.00000e+00	-6.09491e-06	0.00000e+00	3.04745e-06	2.50000e-01	-1.08785e-05
anarchy	7.50000e-01	7.50000e-01	7.28171e-01	2.00000e-01	-2.42259e-05	0.00000e+00	5.82981e-05	2.50000e-01	-4.32395e-05
anguish	7.03000e-01	7.03000e-01	1.98250e+00	1.50000e+00	1.54689e-04	0.00000e+00	2.69044e-04	2.03000e-01	2.24191e-04
annihilate	9.53000e-01	9.53000e-01	1.43053e+00	2.50000e-01	-8.05943e-05	0.00000e+00	9.80286e-05	4.53000e-01	-2.60654e-04
annihilated	8.59000e-01	8.59000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.59000e-01	0.00000e+00
annihilation	8.75000e-01	8.75000e-01	4.42721e-02	7.00000e-01	1.57367e-04	0.00000e+00	8.29645e-05	3.75000e-01	4.21315e-04
anthrax	8.59000e-01	8.59000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.59000e-01	0.00000e+00
anxietyattack	7.97000e-01	7.97000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.97000e-01	0.00000e+00
apache	2.81000e-01	2.81000e-01	4.37500e-01	0.00000e+00	-4.23044e-05	0.00000e+00	2.11522e-05	-2.19000e-01	6.61441e-05
apocalypse	8.44000e-01	8.44000e-01	6.06882e+00	5.91735e+00	7.79641e-04	0.00000e+00	9.76649e-04	3.44000e-01	1.91476e-03
armed	7.03000e-01	7.03000e-01	7.07276e+00	3.81111e+00	1.96178e-04	0.00000e+00	7.81995e-04	2.03000e-01	2.84321e-04
arsenic	7.03000e-01	7.03000e-01	1.03506e-01	1.00000e+00	2.20917e-04	0.00000e+00	1.20467e-04	2.03000e-01	3.20175e-04
arson	7.94000e-01	7.94000e-01	1.31443e-01	0.00000e+00	-1.27099e-05	0.00000e+00	6.35497e-06	2.94000e-01	-2.66779e-05
asap	1.91000e-01	1.91000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-3.09000e-01	0.00000e+00
assailant	7.03000e-01	7.03000e-01	3.33117e+00	3.33333e-01	-2.45134e-04	0.00000e+00	1.99542e-04	2.03000e-01	-3.55273e-04
assassin	8.75000e-01	8.75000e-01	9.39632e+00	1.41212e+00	-5.82488e-04	0.00000e+00	6.17340e-04	3.75000e-01	-1.55948e-03
assassinate	9.06000e-01	9.06000e-01	1.07866e+00	0.00000e+00	-1.04302e-04	0.00000e+00	5.21511e-05	4.06000e-01	-3.02330e-04
assassination	8.28000e-01	8.28000e-01	1.43424e+00	1.00000e+00	9.22406e-05	0.00000e+00	1.84806e-04	3.28000e-01	2.16002e-04
assault	8.91000e-01	8.91000e-01	6.62812e+00	4.18452e+00	3.25404e-04	0.00000e+00	8.03613e-04	3.91000e-01	9.08366e-04
assessment	1.72000e-01	1.72000e-01	1.73602e+00	5.00000e-01	-5.24023e-05	0.00000e+00	1.41664e-04	-3.28000e-01	1.22712e-04
attack	7.97000e-01	7.97000e-01	1.63106e+02	7.19780e+01	8.49907e-04	0.00000e+00	1.61966e-02	2.97000e-01	1.80215e-03
attacking	8.59000e-01	8.59000e-01	1.58972e-01	0.00000e+00	-1.53719e-05	0.00000e+00	7.68596e-06	3.59000e-01	-3.93989e-05
attorney	1.88000e-01	1.88000e-01	2.16372e+00	6.66667e-01	-5.52719e-05	0.00000e+00	1.81587e-04	-3.12000e-01	1.23118e-04
audition	1.56000e-01	1.56000e-01	6.12590e+00	4.36975e-01	-4.91440e-04	0.00000e+00	3.46629e-04	-3.44000e-01	1.20695e-03
auditions	2.66000e-01	2.66000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.34000e-01	0.00000e+00
auditor	2.97000e-01	2.97000e-01	2.22619e-02	0.00000e+00	-2.15263e-06	0.00000e+00	1.07632e-06	-2.03000e-01	3.11980e-06
avalanche	7.03000e-01	7.03000e-01	8.72419e-01	9.00000e-02	-6.35759e-05	0.00000e+00	5.25713e-05	2.03000e-01	-9.21404e-05
aversion	2.83000e-01	2.83000e-01	3.29212e-01	0.00000e+00	-3.18334e-05	0.00000e+00	1.59167e-05	-2.17000e-01	4.93179e-05
avoid	2.97000e-01	2.97000e-01	5.90083e+01	1.70058e+01	-1.77878e-03	0.00000e+00	4.81646e-03	-2.03000e-01	2.57798e-03
backtrack	1.51000e-01	1.51000e-01	1.66595e+00	2.00000e-02	-1.56472e-04	0.00000e+00	8.28543e-05	-3.49000e-01	3.89873e-04
badhabit	2.42000e-01	2.42000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.58000e-01	0.00000e+00
bailiff	1.47000e-01	1.47000e-01	2.52268e-01	0.00000e+00	-2.43932e-05	0.00000e+00	1.21966e-05	-3.53000e-01	6.14759e-05
