ngram	type2p_diff
dream	8.79209e-03
lucid	4.66976e-03
wake	3.70080e-03
try	3.68445e-03
fly	3.26185e-03
think	2.78982e-03
feel	2.17720e-03
time	2.07990e-03
want	1.59223e-03
hand	1.55875e-03
work	1.37096e-03
look	1.32594e-03
start	1.27178e-03
bed	1.19452e-03
decide	1.13822e-03
lucidity	8.79543e-04
thing	8.42608e-04
real	8.28811e-04
body	7.56931e-04
finger	7.38741e-04
control	7.25667e-04
room	7.00281e-04
experience	6.71241e-04
wall	6.57034e-04
realize	6.50992e-04
focus	6.25288e-04
happen	6.05605e-04
imagine	5.50113e-04
mind	5.32690e-04
awake	5.02083e-04
sleep	4.85415e-04
ground	4.82116e-04
change	4.76095e-04
float	4.55984e-04
see	4.43822e-04
excited	4.39815e-04
turn	4.28163e-04
appear	4.04974e-04
air	3.93707e-04
spin	3.89063e-04
sure	3.86362e-04
mirror	3.44787e-04
open	3.39134e-04
light	3.39046e-04
moment	3.38665e-04
world	3.34707e-04
dark	3.25946e-04
wild	3.16464e-04
asleep	3.12885e-04
clear	3.03337e-04
sky	2.95221e-04
summon	2.93781e-04
long	2.92788e-04
away	2.90297e-04
fun	2.89315e-04
instead	2.89216e-04
fall	2.85775e-04
immediately	2.85542e-04
finally	2.77988e-04
right	2.77942e-04
stabilize	2.76233e-04
technique	2.66390e-04
jump	2.65651e-04
face	2.64631e-04
reality	2.59678e-04
begin	2.55996e-04
attempt	2.53141e-04
power	2.50600e-04
arm	2.46191e-04
black	2.40559e-04
star	2.38217e-04
stand	2.37002e-04
check	2.35846e-04
breathe	2.35843e-04
vivid	2.33275e-04
wonder	2.31415e-04
self	2.19662e-04
feeling	2.18236e-04
teleport	2.09933e-04
aware	2.09770e-04
let	2.06626e-04
bedroom	2.06562e-04
cool	2.06133e-04
amazing	2.03847e-04
task	2.02845e-04
eye	2.02729e-04
instantly	2.01992e-04
fail	1.98164e-04
read	1.93763e-04
expect	1.91758e-04
land	1.90938e-04
stop	1.90188e-04
able	1.88468e-04
disappear	1.85988e-04
create	1.84985e-04
shout	1.76568e-04
calm	1.72707e-04
tree	1.68828e-04
fade	1.67973e-04
breath	1.67664e-04
