ngram	type2p_diff
dream	1.344804e-02
lucid	7.877601e-03
try	5.322079e-03
fly	4.944278e-03
wake	4.335064e-03
feel	3.770881e-03
hand	3.451791e-03
think	2.627838e-03
decide	2.188552e-03
bed	2.060046e-03
realize	1.965594e-03
time	1.903981e-03
start	1.739574e-03
eye	1.621696e-03
want	1.614683e-03
look	1.574878e-03
control	1.562848e-03
lucidity	1.559795e-03
body	1.286868e-03
reality	1.282177e-03
finger	1.246652e-03
work	1.235994e-03
open	1.222000e-03
check	1.209876e-03
real	1.041185e-03
sleep	9.363854e-04
nose	8.672984e-04
focus	8.549329e-04
experience	8.513785e-04
lose	8.234101e-04
jump	7.886323e-04
fade	7.871964e-04
excited	7.835551e-04
float	7.746578e-04
fall	7.730213e-04
air	7.725354e-04
stabilize	7.396731e-04
change	7.106494e-04
mind	7.092752e-04
rub	6.941410e-04
close	6.842642e-04
ground	6.752039e-04
awake	6.722739e-04
wall	6.633771e-04
imagine	6.410567e-04
spin	6.371344e-04
light	6.303192e-04
room	6.172197e-04
mirror	6.121897e-04
begin	5.999450e-04
world	5.869889e-04
turn	5.733190e-04
sky	5.688820e-04
aware	5.628557e-04
summon	5.500505e-04
walk	5.483215e-04
happen	5.315485e-04
asleep	5.312479e-04
false	5.213370e-04
able	5.114813e-04
awakening	5.082060e-04
thing	4.894962e-04
wild	4.595752e-04
appear	4.525907e-04
moment	4.418281e-04
dreaming	4.391456e-04
attempt	4.365243e-04
dark	4.296014e-04
bit	4.281430e-04
immediately	4.213577e-04
read	4.081264e-04
window	4.052537e-04
breathe	3.931031e-04
hard	3.901064e-04
clear	3.835142e-04
pinch	3.760444e-04
right	3.756306e-04
goal	3.735705e-04
land	3.681958e-04
vivid	3.539086e-04
task	3.506774e-04
slowly	3.450718e-04
teleport	3.439739e-04
calm	3.386893e-04
sure	3.304780e-04
know	3.290413e-04
realise	3.283924e-04
technique	3.280590e-04
create	3.202738e-04
away	3.180248e-04
finally	3.152760e-04
clock	3.089690e-04
cool	3.032505e-04
arm	3.025765e-04
amazing	3.025712e-04
count	3.014080e-04
bedroom	2.874626e-04
feeling	2.871137e-04
fail	2.814825e-04
thought	2.786003e-04
